ID,Galaxy,[Fe/H],e_[Fe/H],logeps(Mg),e_tot(Mg),sigma_Mg,[Mg/H],[Mg/Fe],logeps(Sc),e_tot(Sc),sigma_Sc,[Sc/H],[Sc/Fe],logeps(Ti),e_tot(Ti),sigma_Ti,[Ti/H],[Ti/Fe],logeps(Cr),e_tot(Cr),sigma_Cr,[Cr/H],[Cr/Fe],logeps(Mn),e_tot(Mn),sigma_Mn,[Mn/H],[Mn/Fe],logeps(Ni),e_tot(Ni),sigma_Ni,[Ni/H],[Ni/Fe],logeps(Zn),e_tot(Zn),sigma_Zn,[Zn/H],[Zn/Fe],logeps(Sr),e_tot(Sr),sigma_Sr,[Sr/H],[Sr/Fe],logeps(Y),e_tot(Y),sigma_Y,[Y/H],[Y/Fe],logeps(Ba),e_tot(Ba),sigma_Ba,[Ba/H],[Ba/Fe],logeps(Eu),e_tot(Eu),e_temp(Eu),e_logg(Eu),e_[Fe/H](Eu),e_v(Eu),e_stat(Eu),e_noise(Eu),sigma_Eu,[Eu/H],[Eu/Fe],sigma_Fe
[LDH2014] Fnx-mem0654,For,-1.64,0.06,6.33,0.22,0.22,-1.2699999999999996,0.37000000000000033,1.17,0.18,0.18,-1.98,-0.3400000000000001,3.75,0.22,0.22,-1.2000000000000002,0.4399999999999997,3.02,0.33,0.33,-2.6199999999999997,-0.9799999999999998,3.15,0.36,0.36,-2.28,-0.6399999999999999,4.79,0.27,0.27,-1.4299999999999997,0.2100000000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.56,0.36,0.36,-1.62,0.019999999999999796,-0.81,0.15,0.04,0.13,0.05,0.03,0.0,0.01,0.15,-1.33,0.30999999999999983,0.06
[LDH2014] Fnx-mem0612,For,-1.54,0.07,6.41,0.22,0.22,-1.1899999999999995,0.35000000000000053,1.21,0.22,0.22,-1.94,-0.3999999999999999,nan,nan,nan,nan,nan,3.79,0.21,0.21,-1.8499999999999996,-0.3099999999999996,3.5,0.28,0.28,-1.9299999999999997,-0.3899999999999997,4.46,0.24,0.24,-1.7599999999999998,-0.21999999999999975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.73,0.33,0.33,-1.4500000000000002,0.08999999999999986,-0.54,0.14,0.03,0.12,0.06,0.04,0.0,0.01,0.14,-1.06,0.48,0.07
[LHT2010] BL147,For,-1.5,0.05,6.26,0.17,0.17,-1.3399999999999999,0.16000000000000014,1.32,0.12,0.12,-1.8299999999999998,-0.32999999999999985,3.27,0.2,0.2,-1.6800000000000002,-0.18000000000000016,nan,nan,nan,nan,nan,3.48,0.28,0.28,-1.9499999999999997,-0.44999999999999973,4.57,0.31,0.31,-1.6499999999999995,-0.14999999999999947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.08,0.17,0.17,-1.1,0.3999999999999999,0.0,0.31,0.11,0.23,0.14,0.12,0.0,0.01,0.31,-0.52,0.98,0.05
[LDH2014] Fnx-mem0747,For,-1.35,0.06,6.47,0.18,0.18,-1.13,0.2200000000000002,2.23,0.11,0.11,-0.9199999999999999,0.43000000000000016,4.0,0.1,0.1,-0.9500000000000002,0.3999999999999999,3.98,0.27,0.27,-1.6599999999999997,-0.3099999999999996,3.31,0.25,0.25,-2.1199999999999997,-0.7699999999999996,4.64,0.14,0.14,-1.58,-0.22999999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.55,0.17,0.17,-1.6300000000000001,-0.28,-0.14,0.1,0.04,0.09,0.01,0.01,0.0,0.02,0.1,-0.66,0.6900000000000001,0.06
[LDH2014] Fnx-mem0647,For,-1.34,0.07,6.46,0.1,0.1,-1.1399999999999997,0.2000000000000004,1.52,0.09,0.09,-1.63,-0.2899999999999998,4.12,0.18,0.18,-0.8300000000000001,0.51,4.14,0.34,0.34,-1.5,-0.15999999999999992,nan,nan,nan,nan,nan,4.89,0.12,0.12,-1.33,0.010000000000000009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.76,0.24,0.24,-1.45,-0.10999999999999988,0.32,0.23,0.23,-1.86,-0.52,-0.63,0.07,0.03,0.06,0.0,0.02,0.0,0.01,0.07,-1.15,0.19000000000000017,0.07
[LDH2014] Fnx-mem0546,For,-1.33,0.08,6.16,0.27,0.27,-1.4399999999999995,-0.10999999999999943,1.26,0.26,0.26,-1.89,-0.5599999999999998,3.93,0.31,0.31,-1.02,0.31000000000000005,3.57,0.39,0.39,-2.07,-0.7399999999999998,3.9,0.37,0.37,-1.5299999999999998,-0.19999999999999973,4.76,0.2,0.2,-1.46,-0.1299999999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.25,0.12,0.12,-0.9300000000000002,0.3999999999999999,0.64,0.19,0.04,0.07,0.01,0.02,0.0,0.17,0.19,0.12,1.4500000000000002,0.08
2MASS J02381393-3446553,For,-1.32,0.04,6.7,0.25,0.25,-0.8999999999999995,0.4200000000000006,1.43,0.18,0.18,-1.72,-0.3999999999999999,3.73,0.22,0.22,-1.2200000000000002,0.09999999999999987,4.57,0.38,0.38,-1.0699999999999994,0.25000000000000067,3.67,0.26,0.26,-1.7599999999999998,-0.4399999999999997,4.99,0.34,0.34,-1.2299999999999995,0.09000000000000052,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.64,0.18,0.18,-1.54,-0.21999999999999997,-0.51,0.15,0.04,0.13,0.04,0.03,0.0,0.01,0.15,-1.03,0.29000000000000004,0.04
[WMO2009] For-0970,For,-1.23,0.05,6.5,0.17,0.17,-1.0999999999999996,0.13000000000000034,1.51,0.12,0.12,-1.64,-0.4099999999999999,3.71,0.11,0.11,-1.2400000000000002,-0.010000000000000231,4.31,0.29,0.29,-1.33,-0.10000000000000009,3.56,0.19,0.19,-1.8699999999999997,-0.6399999999999997,4.67,0.12,0.12,-1.5499999999999998,-0.31999999999999984,2.74,0.27,0.27,-1.8199999999999994,-0.5899999999999994,nan,nan,nan,nan,nan,0.07,0.28,0.28,-2.14,-0.9100000000000001,0.58,0.1,0.1,-1.6,-0.3700000000000001,-0.92,0.22,0.07,0.17,0.1,0.08,0.0,0.01,0.22,-1.44,-0.20999999999999996,0.05
2MASS J02401043-3425177,For,-1.01,0.1,6.55,0.05,0.05,-1.0499999999999998,-0.039999999999999813,1.77,0.12,0.12,-1.38,-0.3699999999999999,3.48,0.21,0.21,-1.4700000000000002,-0.4600000000000002,4.69,0.19,0.19,-0.9499999999999993,0.06000000000000072,3.86,0.04,0.04,-1.5699999999999998,-0.5599999999999998,5.13,0.18,0.18,-1.0899999999999999,-0.07999999999999985,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.91,0.23,0.23,-1.27,-0.26,-0.06,0.1,0.01,0.09,0.03,0.01,0.0,0.01,0.1,-0.5800000000000001,0.42999999999999994,0.1
[WMO2009] For-0361,For,-1.01,0.11,6.6,0.09,0.09,-1.0,0.010000000000000009,1.86,0.1,0.1,-1.2899999999999998,-0.2799999999999998,3.9,0.25,0.25,-1.0500000000000003,-0.04000000000000026,4.79,0.42,0.42,-0.8499999999999996,0.16000000000000036,3.98,0.13,0.13,-1.4499999999999997,-0.4399999999999997,4.97,0.2,0.2,-1.25,-0.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.34,0.14,0.14,-0.8400000000000001,0.16999999999999993,-0.01,0.08,0.02,0.07,0.03,0.02,0.0,0.01,0.08,-0.53,0.48,0.11
[LDH2014] Fnx-rgb0553,For,-0.97,0.05,6.41,0.08,0.08,-1.1899999999999995,-0.21999999999999953,1.48,0.29,0.29,-1.67,-0.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.2,0.24,0.24,-1.0199999999999996,-0.0499999999999996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.36,0.21,0.21,-0.8200000000000001,0.1499999999999999,-0.24,0.12,0.01,0.1,0.03,0.01,0.0,0.05,0.12,-0.76,0.20999999999999996,0.05
[WMO2009] For-1877,For,-0.97,0.09,6.46,0.19,0.19,-1.1399999999999997,-0.1699999999999997,1.75,0.13,0.13,-1.4,-0.42999999999999994,3.66,0.23,0.23,-1.29,-0.32000000000000006,5.59,0.99,0.99,-0.04999999999999982,0.9200000000000002,3.92,0.13,0.13,-1.5099999999999998,-0.5399999999999998,4.79,0.17,0.17,-1.4299999999999997,-0.45999999999999974,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.79,0.29,0.29,-1.3900000000000001,-0.42000000000000015,-0.59,0.14,0.02,0.12,0.06,0.03,0.0,0.01,0.14,-1.1099999999999999,-0.1399999999999999,0.09
[WMO2009] For-0968,For,-0.96,0.06,6.56,0.07,0.07,-1.04,-0.08000000000000007,1.69,0.12,0.12,-1.46,-0.5,3.48,0.26,0.26,-1.4700000000000002,-0.5100000000000002,4.46,0.24,0.24,-1.1799999999999997,-0.21999999999999975,3.84,0.29,0.29,-1.5899999999999999,-0.6299999999999999,5.11,0.31,0.31,-1.1099999999999994,-0.14999999999999947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7,0.2,0.2,-1.4800000000000002,-0.5200000000000002,0.14,0.29,0.1,0.2,0.14,0.11,0.0,0.01,0.29,-0.38,0.58,0.06
[MOW91]  25,For,-0.95,0.09,6.61,0.16,0.16,-0.9899999999999993,-0.03999999999999937,1.75,0.29,0.29,-1.4,-0.44999999999999996,3.86,0.16,0.16,-1.0900000000000003,-0.14000000000000035,4.82,0.21,0.21,-0.8199999999999994,0.13000000000000056,4.12,0.16,0.16,-1.3099999999999996,-0.35999999999999965,5.11,0.25,0.25,-1.1099999999999994,-0.15999999999999948,2.9,0.27,0.27,-1.6599999999999997,-0.7099999999999997,nan,nan,nan,nan,nan,0.87,0.09,0.09,-1.3399999999999999,-0.3899999999999999,1.67,0.14,0.14,-0.5100000000000002,0.4399999999999997,0.08,0.09,0.03,0.08,0.03,0.01,0.0,0.01,0.09,-0.44,0.51,0.09
[LHT2010] BL100,For,-0.94,0.1,6.52,0.17,0.17,-1.08,-0.14000000000000012,1.92,0.14,0.14,-1.23,-0.29000000000000004,4.11,0.12,0.12,-0.8399999999999999,0.10000000000000009,nan,nan,nan,nan,nan,4.07,0.13,0.13,-1.3599999999999994,-0.4199999999999995,4.98,0.17,0.17,-1.2399999999999993,-0.2999999999999994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.89,0.32,0.32,-1.29,-0.3500000000000001,-0.44,0.15,0.0,0.14,0.06,0.02,0.0,0.01,0.15,-0.96,-0.020000000000000018,0.1
GB07 Fnx11,For,-0.93,0.06,6.55,0.05,0.05,-1.0499999999999998,-0.11999999999999977,1.45,0.16,0.16,-1.7,-0.7699999999999999,3.83,0.22,0.22,-1.12,-0.19000000000000006,4.57,0.2,0.2,-1.0699999999999994,-0.13999999999999935,3.98,0.07,0.07,-1.4499999999999997,-0.5199999999999997,4.92,0.22,0.22,-1.2999999999999998,-0.3699999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.11,0.25,0.25,-1.0999999999999999,-0.16999999999999982,1.44,0.14,0.14,-0.7400000000000002,0.18999999999999984,0.04,0.12,0.01,0.11,0.04,0.02,0.0,0.01,0.12,-0.48000000000000004,0.45,0.06
[LDH2014] Fnx-mem0595,For,-0.92,0.13,6.5,0.11,0.11,-1.0999999999999996,-0.1799999999999996,1.6,0.29,0.29,-1.5499999999999998,-0.6299999999999998,3.79,0.28,0.28,-1.1600000000000001,-0.2400000000000001,4.76,0.18,0.18,-0.8799999999999999,0.04000000000000015,4.14,0.23,0.23,-1.29,-0.37,5.12,0.23,0.23,-1.0999999999999996,-0.1799999999999996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.79,0.14,0.14,-0.3900000000000001,0.5299999999999999,0.98,0.12,0.0,0.1,0.06,0.0,0.0,0.01,0.12,0.45999999999999996,1.38,0.13
[LDH2014] Fnx-mem0675,For,-0.92,0.11,6.47,0.08,0.08,-1.13,-0.20999999999999985,1.63,0.23,0.23,-1.52,-0.6,4.02,0.23,0.23,-0.9300000000000006,-0.010000000000000564,4.85,0.32,0.32,-0.79,0.13,4.32,0.2,0.2,-1.1099999999999994,-0.1899999999999994,5.25,0.21,0.21,-0.9699999999999998,-0.04999999999999971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.27,0.27,-1.31,-0.39,0.64,0.39,0.39,-1.54,-0.62,-0.06,0.11,0.01,0.1,0.05,0.01,0.0,0.01,0.11,-0.5800000000000001,0.33999999999999997,0.11
[WMO2009] For-1579,For,-0.9,0.06,6.68,0.06,0.06,-0.9199999999999999,-0.019999999999999907,1.71,0.15,0.15,-1.44,-0.5399999999999999,3.84,0.13,0.13,-1.1100000000000003,-0.2100000000000003,4.56,0.14,0.14,-1.08,-0.18000000000000005,3.99,0.21,0.21,-1.4399999999999995,-0.5399999999999995,5.15,0.25,0.25,-1.0699999999999994,-0.16999999999999937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.17,0.23,0.23,-1.04,-0.14,1.57,0.2,0.2,-0.6100000000000001,0.2899999999999999,-0.14,0.13,0.0,0.12,0.04,0.02,0.0,0.01,0.13,-0.66,0.24,0.06
2MASS J02392805-3434013,For,-0.89,0.08,6.57,0.07,0.07,-1.0299999999999994,-0.13999999999999935,1.73,0.13,0.13,-1.42,-0.5299999999999999,3.55,0.21,0.21,-1.4000000000000004,-0.5100000000000003,4.58,0.1,0.1,-1.0599999999999996,-0.1699999999999996,4.14,0.09,0.09,-1.29,-0.4,5.09,0.15,0.15,-1.13,-0.23999999999999988,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.38,0.11,0.11,-0.8000000000000003,0.08999999999999975,0.17,0.31,0.11,0.21,0.15,0.12,0.0,0.01,0.31,-0.35,0.54,0.08
2MASS J02385721-3435400,For,-0.86,0.08,6.77,0.15,0.15,-0.8300000000000001,0.029999999999999916,1.8,0.19,0.19,-1.3499999999999999,-0.4899999999999999,4.17,0.23,0.23,-0.7800000000000002,0.07999999999999974,4.86,0.25,0.25,-0.7799999999999994,0.08000000000000063,4.13,0.1,0.1,-1.2999999999999998,-0.43999999999999984,5.13,0.2,0.2,-1.0899999999999999,-0.22999999999999987,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.44,0.27,0.27,-0.77,0.08999999999999997,1.37,0.11,0.11,-0.81,0.04999999999999993,-0.17,0.08,0.04,0.06,0.0,0.03,0.0,0.01,0.08,-0.6900000000000001,0.16999999999999993,0.08
2MASS J02392022-3431571,For,-0.85,0.07,6.76,0.08,0.08,-0.8399999999999999,0.01000000000000012,1.76,0.13,0.13,-1.39,-0.5399999999999999,4.0,0.16,0.16,-0.9500000000000002,-0.1000000000000002,4.7,0.28,0.28,-0.9399999999999995,-0.08999999999999952,4.19,0.24,0.24,-1.2399999999999993,-0.38999999999999935,5.11,0.14,0.14,-1.1099999999999994,-0.25999999999999945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.16,0.18,0.18,-1.0200000000000002,-0.17000000000000026,0.01,0.09,0.04,0.08,0.01,0.01,0.0,0.01,0.09,-0.51,0.33999999999999997,0.07
2MASS J02394528-3431581,For,-0.84,0.04,6.55,0.08,0.08,-1.0499999999999998,-0.20999999999999985,1.76,0.24,0.24,-1.39,-0.5499999999999999,3.84,0.25,0.25,-1.1100000000000003,-0.27000000000000035,nan,nan,nan,nan,nan,3.74,0.06,0.06,-1.6899999999999995,-0.8499999999999995,5.03,0.52,0.52,-1.1899999999999995,-0.34999999999999953,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.29,0.23,0.23,-0.8900000000000001,-0.050000000000000155,0.3,0.22,0.05,0.19,0.07,0.05,0.0,0.03,0.22,-0.22000000000000003,0.6199999999999999,0.04
[WMO2009] For-1219,For,-0.84,0.06,6.89,0.05,0.05,-0.71,0.13,1.93,0.1,0.1,-1.22,-0.38,4.0,0.16,0.16,-0.9500000000000002,-0.11000000000000021,4.69,0.17,0.17,-0.9499999999999993,-0.10999999999999932,4.36,0.26,0.26,-1.0699999999999994,-0.22999999999999943,5.02,0.19,0.19,-1.2000000000000002,-0.3600000000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.96,0.22,0.22,-1.2200000000000002,-0.3800000000000002,0.02,0.1,0.01,0.1,0.02,0.0,0.0,0.01,0.1,-0.5,0.33999999999999997,0.06
2MASS J02393153-3423052,For,-0.83,0.11,6.62,0.07,0.07,-0.9799999999999995,-0.14999999999999958,1.81,0.16,0.16,-1.3399999999999999,-0.5099999999999999,3.96,0.11,0.11,-0.9900000000000002,-0.16000000000000025,4.7,0.35,0.35,-0.9399999999999995,-0.10999999999999954,4.14,0.08,0.08,-1.29,-0.4600000000000001,5.13,0.16,0.16,-1.0899999999999999,-0.2599999999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.25,0.15,0.15,-0.9300000000000002,-0.1000000000000002,-0.08,0.11,0.01,0.1,0.04,0.0,0.0,0.01,0.11,-0.6,0.22999999999999998,0.11
[LDH2014] Fnx-mem0626,For,-0.83,0.07,6.84,0.17,0.17,-0.7599999999999998,0.07000000000000017,1.95,0.22,0.22,-1.2,-0.37,3.57,0.23,0.23,-1.3800000000000003,-0.5500000000000004,4.9,0.11,0.11,-0.7399999999999993,0.09000000000000064,4.3,0.3,0.3,-1.13,-0.29999999999999993,5.14,0.15,0.15,-1.08,-0.2500000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.38,0.27,0.27,-0.8300000000000001,-1.1102230246251565e-16,1.33,0.13,0.13,-0.8500000000000001,-0.02000000000000013,0.1,0.08,0.03,0.07,0.01,0.02,0.0,0.01,0.08,-0.42000000000000004,0.4099999999999999,0.07
[LHT2010] BL158,For,-0.82,0.07,6.83,0.19,0.19,-0.7699999999999996,0.05000000000000038,1.68,0.2,0.2,-1.47,-0.65,4.18,0.14,0.14,-0.7700000000000005,0.04999999999999949,nan,nan,nan,nan,nan,4.49,0.08,0.08,-0.9399999999999995,-0.11999999999999955,5.25,0.29,0.29,-0.9699999999999998,-0.1499999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.53,0.2,0.2,-0.6500000000000001,0.16999999999999982,0.34,0.2,0.04,0.17,0.08,0.05,0.0,0.01,0.2,-0.18,0.6399999999999999,0.07
2MASS J02383502-3442406,For,-0.81,0.06,6.71,0.19,0.19,-0.8899999999999997,-0.07999999999999963,1.62,0.35,0.35,-1.5299999999999998,-0.7199999999999998,4.03,0.26,0.26,-0.9199999999999999,-0.10999999999999988,4.88,0.37,0.37,-0.7599999999999998,0.050000000000000266,4.14,0.08,0.08,-1.29,-0.48,5.17,0.14,0.14,-1.0499999999999998,-0.23999999999999977,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.15,0.29,0.29,-1.06,-0.25,1.26,0.18,0.18,-0.9200000000000002,-0.1100000000000001,0.01,0.1,0.01,0.1,0.02,0.0,0.0,0.02,0.1,-0.51,0.30000000000000004,0.06
GB07 Fnx08,For,-0.81,0.05,6.69,0.06,0.06,-0.9099999999999993,-0.0999999999999992,1.91,0.15,0.15,-1.24,-0.42999999999999994,4.38,0.12,0.12,-0.5700000000000003,0.23999999999999977,4.78,0.21,0.21,-0.8599999999999994,-0.04999999999999938,4.19,0.07,0.07,-1.2399999999999993,-0.42999999999999927,5.08,0.13,0.13,-1.1399999999999997,-0.3299999999999996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.77,0.24,0.24,-1.44,-0.6299999999999999,1.32,0.19,0.19,-0.8600000000000001,-0.050000000000000044,0.08,0.1,0.02,0.1,0.01,0.01,0.0,0.01,0.1,-0.44,0.37000000000000005,0.05
[LDH2014] Fnx-mem0633,For,-0.81,0.12,6.48,0.08,0.08,-1.1199999999999992,-0.30999999999999917,1.78,0.15,0.15,-1.3699999999999999,-0.5599999999999998,3.83,0.14,0.14,-1.12,-0.31000000000000005,4.73,0.18,0.18,-0.9099999999999993,-0.0999999999999992,4.34,0.17,0.17,-1.0899999999999999,-0.2799999999999998,5.08,0.17,0.17,-1.1399999999999997,-0.3299999999999996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.06,0.27,0.27,-1.15,-0.33999999999999986,0.96,0.13,0.13,-1.2200000000000002,-0.41000000000000014,-0.34,0.17,0.02,0.14,0.08,0.04,0.0,0.01,0.17,-0.8600000000000001,-0.050000000000000044,0.12
[LHT2010] BL204,For,-0.81,0.03,6.71,0.07,0.07,-0.8899999999999997,-0.07999999999999963,1.62,0.15,0.15,-1.5299999999999998,-0.7199999999999998,3.92,0.23,0.23,-1.0300000000000002,-0.2200000000000002,4.57,0.33,0.33,-1.0699999999999994,-0.25999999999999934,3.98,0.12,0.12,-1.4499999999999997,-0.6399999999999997,4.85,0.24,0.24,-1.37,-0.56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.28,0.14,0.14,-0.9000000000000001,-0.09000000000000008,0.15,0.08,0.03,0.07,0.01,0.02,0.0,0.01,0.08,-0.37,0.44000000000000006,0.03
[LHT2010] BL261,For,-0.81,0.11,6.29,0.25,0.25,-1.3099999999999996,-0.49999999999999956,1.61,0.2,0.2,-1.5399999999999998,-0.7299999999999998,4.03,0.14,0.14,-0.9199999999999999,-0.10999999999999988,nan,nan,nan,nan,nan,3.92,0.09,0.09,-1.5099999999999998,-0.6999999999999997,4.94,0.17,0.17,-1.2799999999999994,-0.4699999999999993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.82,0.28,0.28,-1.3900000000000001,-0.5800000000000001,0.98,0.27,0.27,-1.2000000000000002,-0.3900000000000001,0.13,0.15,0.0,0.14,0.05,0.02,0.0,0.01,0.15,-0.39,0.42000000000000004,0.11
2MASS J02391159-3430448,For,-0.79,0.07,6.64,0.22,0.22,-0.96,-0.16999999999999993,1.64,0.21,0.21,-1.51,-0.72,4.04,0.11,0.11,-0.9100000000000001,-0.1200000000000001,4.68,0.3,0.3,-0.96,-0.16999999999999993,4.18,0.1,0.1,-1.25,-0.45999999999999996,5.43,0.51,0.51,-0.79,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.33,0.28,0.28,-0.8799999999999999,-0.08999999999999986,1.52,0.16,0.16,-0.6600000000000001,0.1299999999999999,0.42,0.1,0.0,0.1,0.03,0.0,0.0,0.01,0.1,-0.10000000000000003,0.69,0.07
[LDH2014] Fnx-mem0556,For,-0.79,0.09,6.66,0.24,0.24,-0.9399999999999995,-0.14999999999999947,1.79,0.1,0.1,-1.3599999999999999,-0.5699999999999998,4.32,0.25,0.25,-0.6299999999999999,0.16000000000000014,5.22,0.26,0.26,-0.41999999999999993,0.3700000000000001,3.97,0.14,0.14,-1.4599999999999995,-0.6699999999999995,5.14,0.21,0.21,-1.08,-0.29000000000000004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.62,0.29,0.29,-0.5899999999999999,0.20000000000000018,1.76,0.3,0.3,-0.42000000000000015,0.3699999999999999,0.98,0.13,0.03,0.07,0.02,0.02,0.0,0.1,0.13,0.45999999999999996,1.25,0.09
[LDH2014] Fnx-mem0634,For,-0.79,0.08,6.42,0.21,0.21,-1.1799999999999997,-0.3899999999999997,1.55,0.21,0.21,-1.5999999999999999,-0.8099999999999998,4.53,0.19,0.19,-0.41999999999999993,0.3700000000000001,4.52,0.1,0.1,-1.12,-0.33000000000000007,4.46,0.22,0.22,-0.9699999999999998,-0.17999999999999972,5.21,0.45,0.45,-1.0099999999999998,-0.21999999999999975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.65,0.29,0.29,-0.56,0.22999999999999998,1.74,0.26,0.26,-0.44000000000000017,0.34999999999999987,0.12,0.09,0.03,0.07,0.01,0.02,0.0,0.03,0.09,-0.4,0.39,0.08
[WMO2009] For-2280,For,-0.79,0.05,6.7,0.06,0.06,-0.8999999999999995,-0.10999999999999943,1.96,0.21,0.21,-1.19,-0.3999999999999999,3.98,0.18,0.18,-0.9700000000000002,-0.18000000000000016,4.64,0.26,0.26,-1.0,-0.20999999999999996,3.98,0.08,0.08,-1.4499999999999997,-0.6599999999999997,5.38,0.26,0.26,-0.8399999999999999,-0.04999999999999982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.41,0.16,0.16,-0.7700000000000002,0.019999999999999796,0.2,0.28,0.1,0.21,0.12,0.11,0.0,0.01,0.28,-0.32,0.47000000000000003,0.05
