ID,Galaxy,[Fe/H],e_[Fe/H],logeps(Mg),e_tot(Mg),sigma_Mg,[Mg/H],[Mg/Fe],logeps(Sc),e_tot(Sc),sigma_Sc,[Sc/H],[Sc/Fe],logeps(Ti),e_tot(Ti),sigma_Ti,[Ti/H],[Ti/Fe],logeps(Cr),e_tot(Cr),sigma_Cr,[Cr/H],[Cr/Fe],logeps(Mn),e_tot(Mn),sigma_Mn,[Mn/H],[Mn/Fe],logeps(Ni),e_tot(Ni),sigma_Ni,[Ni/H],[Ni/Fe],logeps(Zn),e_tot(Zn),sigma_Zn,[Zn/H],[Zn/Fe],logeps(Sr),e_tot(Sr),sigma_Sr,[Sr/H],[Sr/Fe],logeps(Y),e_tot(Y),sigma_Y,[Y/H],[Y/Fe],logeps(Ba),e_tot(Ba),sigma_Ba,[Ba/H],[Ba/Fe],logeps(Eu),e_tot(Eu),e_temp(Eu),e_logg(Eu),e_[Fe/H](Eu),e_v(Eu),e_stat(Eu),e_noise(Eu),sigma_Eu,[Eu/H],[Eu/Fe],sigma_Fe
[KGS2010] For   64059,For,-0.65,0.1,6.76,0.06,0.06,-0.8399999999999999,-0.18999999999999984,1.65,0.21,0.21,-1.5,-0.85,4.02,0.13,0.13,-0.9300000000000006,-0.2800000000000006,nan,nan,nan,nan,nan,4.25,0.11,0.11,-1.1799999999999997,-0.5299999999999997,5.18,0.25,0.25,-1.04,-0.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.56,0.28,0.28,-0.6499999999999999,1.1102230246251565e-16,1.1,0.2,0.2,-1.08,-0.43000000000000005,0.07,0.15,0.01,0.14,0.04,0.01,0.0,0.01,0.15,-0.45,0.2,0.1
[WMO2009] For-0365,For,-0.65,0.06,6.85,0.11,0.11,-0.75,-0.09999999999999998,2.02,0.12,0.12,-1.13,-0.47999999999999987,3.78,0.24,0.24,-1.1700000000000004,-0.5200000000000004,4.94,0.35,0.35,-0.6999999999999993,-0.04999999999999927,4.3,0.07,0.07,-1.13,-0.47999999999999987,5.24,0.17,0.17,-0.9799999999999995,-0.3299999999999995,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.55,0.13,0.13,-0.6300000000000001,0.019999999999999907,0.44,0.12,0.01,0.11,0.04,0.02,0.0,0.01,0.12,-0.08000000000000002,0.5700000000000001,0.06
[WMO2009] For-0387,For,-0.65,0.11,6.71,0.08,0.08,-0.8899999999999997,-0.23999999999999966,2.05,0.15,0.15,-1.1,-0.45000000000000007,4.39,0.25,0.25,-0.5600000000000005,0.08999999999999952,5.1,0.14,0.14,-0.54,0.10999999999999999,4.36,0.17,0.17,-1.0699999999999994,-0.4199999999999994,5.31,0.34,0.34,-0.9100000000000001,-0.2600000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.41,0.19,0.19,-0.7700000000000002,-0.12000000000000022,-0.07,0.13,0.0,0.11,0.06,0.02,0.0,0.01,0.13,-0.5900000000000001,0.05999999999999994,0.11
2MASS J02385365-3433048,For,-0.64,0.08,6.62,0.05,0.05,-0.9799999999999995,-0.3399999999999995,1.92,0.11,0.11,-1.23,-0.59,4.05,0.21,0.21,-0.9000000000000004,-0.26000000000000034,4.96,0.19,0.19,-0.6799999999999997,-0.0399999999999997,4.61,0.1,0.1,-0.8199999999999994,-0.17999999999999938,5.17,0.22,0.22,-1.0499999999999998,-0.4099999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.69,0.27,0.27,-1.52,-0.88,1.47,0.13,0.13,-0.7100000000000002,-0.07000000000000017,0.12,0.09,0.02,0.09,0.01,0.01,0.0,0.01,0.09,-0.4,0.24,0.08
[WMO2009] For-0910,For,-0.64,0.05,6.8,0.06,0.06,-0.7999999999999998,-0.1599999999999998,1.98,0.13,0.13,-1.17,-0.5299999999999999,4.55,0.23,0.23,-0.40000000000000036,0.23999999999999966,5.23,0.27,0.27,-0.40999999999999925,0.23000000000000076,4.39,0.25,0.25,-1.04,-0.4,5.4,0.15,0.15,-0.8199999999999994,-0.17999999999999938,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.29,0.28,0.28,-0.9199999999999999,-0.2799999999999999,1.66,0.3,0.3,-0.5200000000000002,0.11999999999999977,0.31,0.24,0.07,0.19,0.1,0.09,0.0,0.01,0.24,-0.21000000000000002,0.43,0.05
2MASS J02390853-3430556,For,-0.62,0.07,6.67,0.09,0.09,-0.9299999999999997,-0.3099999999999997,2.01,0.22,0.22,-1.1400000000000001,-0.5200000000000001,4.05,0.16,0.16,-0.9000000000000004,-0.28000000000000036,5.01,0.14,0.14,-0.6299999999999999,-0.009999999999999898,4.23,0.12,0.12,-1.1999999999999993,-0.5799999999999993,5.15,0.19,0.19,-1.0699999999999994,-0.4499999999999994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.17,0.24,0.24,-1.04,-0.42000000000000004,1.48,0.15,0.15,-0.7000000000000002,-0.08000000000000018,0.41,0.14,0.01,0.13,0.05,0.03,0.0,0.01,0.14,-0.11000000000000004,0.51,0.07
2MASS J02391606-3430135,For,-0.62,0.08,6.67,0.09,0.09,-0.9299999999999997,-0.3099999999999997,1.77,0.18,0.18,-1.38,-0.7599999999999999,4.15,0.14,0.14,-0.7999999999999998,-0.17999999999999983,5.22,0.18,0.18,-0.41999999999999993,0.20000000000000007,4.47,0.12,0.12,-0.96,-0.33999999999999997,5.11,0.18,0.18,-1.1099999999999994,-0.48999999999999944,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.33,0.19,0.19,-0.8500000000000001,-0.2300000000000001,-0.15,0.12,0.01,0.11,0.05,0.02,0.0,0.01,0.12,-0.67,-0.050000000000000044,0.08
2MASS J02395427-3435114,For,-0.61,0.11,6.89,0.15,0.15,-0.71,-0.09999999999999998,1.92,0.19,0.19,-1.23,-0.62,3.8,0.23,0.23,-1.1500000000000004,-0.5400000000000004,4.8,0.28,0.28,-0.8399999999999999,-0.22999999999999987,3.94,0.24,0.24,-1.4899999999999998,-0.8799999999999998,5.58,0.22,0.22,-0.6399999999999997,-0.029999999999999694,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4,0.26,0.26,-0.81,-0.20000000000000007,1.51,0.13,0.13,-0.6700000000000002,-0.060000000000000164,0.24,0.35,0.11,0.24,0.18,0.15,0.0,0.01,0.35,-0.28,0.32999999999999996,0.11
2MASS J02391398-3428364,For,-0.6,0.11,6.66,0.1,0.1,-0.9399999999999995,-0.3399999999999995,1.9,0.12,0.12,-1.25,-0.65,4.07,0.12,0.12,-0.8799999999999999,-0.2799999999999999,4.92,0.17,0.17,-0.7199999999999998,-0.11999999999999977,4.72,0.27,0.27,-0.71,-0.10999999999999999,5.3,0.32,0.32,-0.9199999999999999,-0.31999999999999995,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.01,0.28,0.28,-1.2,-0.6,1.36,0.22,0.22,-0.8200000000000001,-0.22000000000000008,-0.04,0.09,0.02,0.08,0.03,0.01,0.0,0.01,0.09,-0.56,0.039999999999999925,0.11
2MASS J02391437-3434427,For,-0.59,0.09,6.96,0.07,0.07,-0.6399999999999997,-0.04999999999999971,2.01,0.19,0.19,-1.1400000000000001,-0.5500000000000002,4.26,0.2,0.2,-0.6900000000000004,-0.10000000000000042,5.08,0.16,0.16,-0.5599999999999996,0.03000000000000036,4.4,0.16,0.16,-1.0299999999999994,-0.4399999999999994,5.18,0.45,0.45,-1.04,-0.45000000000000007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.26,0.29,0.29,-0.95,-0.36,1.71,0.12,0.12,-0.4700000000000002,0.11999999999999977,0.4,0.22,0.07,0.16,0.1,0.08,0.0,0.05,0.22,-0.12,0.47,0.09
[LDH2014] Fnx-mem0682,For,-0.59,0.06,6.93,0.16,0.16,-0.6699999999999999,-0.07999999999999996,1.81,0.14,0.14,-1.3399999999999999,-0.7499999999999999,4.15,0.14,0.14,-0.7999999999999998,-0.20999999999999985,5.14,0.1,0.1,-0.5,0.08999999999999997,4.63,0.14,0.14,-0.7999999999999998,-0.20999999999999985,5.33,0.34,0.34,-0.8899999999999997,-0.2999999999999997,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.16,0.15,0.15,-1.0200000000000002,-0.43000000000000027,-0.01,0.11,0.0,0.11,0.03,0.01,0.0,0.01,0.11,-0.53,0.05999999999999994,0.06
[LDH2014] Fnx-mem0717,For,-0.59,0.08,6.92,0.24,0.24,-0.6799999999999997,-0.08999999999999975,2.14,0.13,0.13,-1.0099999999999998,-0.4199999999999998,3.91,0.26,0.26,-1.04,-0.45000000000000007,5.25,0.17,0.17,-0.3899999999999997,0.2000000000000003,4.28,0.12,0.12,-1.1499999999999995,-0.5599999999999995,5.21,0.49,0.49,-1.0099999999999998,-0.4199999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.28,0.13,0.13,-0.9000000000000001,-0.31000000000000016,0.63,0.18,0.08,0.04,0.04,0.06,0.0,0.14,0.18,0.10999999999999999,0.7,0.08
[LDH2014] Fnx-mem0678,For,-0.58,0.07,6.56,0.07,0.07,-1.04,-0.4600000000000001,1.68,0.22,0.22,-1.47,-0.89,4.32,0.21,0.21,-0.6299999999999999,-0.04999999999999993,5.29,0.15,0.15,-0.34999999999999964,0.23000000000000032,4.7,0.11,0.11,-0.7299999999999995,-0.14999999999999958,5.35,0.3,0.3,-0.8700000000000001,-0.29000000000000015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.04,0.27,0.27,-1.17,-0.59,1.19,0.22,0.22,-0.9900000000000002,-0.41000000000000025,0.03,0.09,0.02,0.09,0.02,0.0,0.0,0.01,0.09,-0.49,0.08999999999999997,0.07
2MASS J02391783-3430570,For,-0.57,0.1,6.52,0.09,0.09,-1.08,-0.5100000000000001,1.83,0.17,0.17,-1.3199999999999998,-0.7499999999999999,4.07,0.09,0.09,-0.8799999999999999,-0.30999999999999994,5.33,0.19,0.19,-0.3099999999999996,0.26000000000000034,4.38,0.13,0.13,-1.0499999999999998,-0.47999999999999987,5.29,0.29,0.29,-0.9299999999999997,-0.35999999999999976,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4,0.19,0.19,-0.7800000000000002,-0.2100000000000003,0.36,0.26,0.08,0.18,0.13,0.1,0.0,0.01,0.26,-0.16000000000000003,0.4099999999999999,0.1
[WMO2009] For-1581,For,-0.57,0.08,6.87,0.28,0.28,-0.7299999999999995,-0.1599999999999996,2.03,0.28,0.28,-1.12,-0.5500000000000002,4.18,0.32,0.32,-0.7700000000000005,-0.2000000000000005,4.98,0.34,0.34,-0.6599999999999993,-0.0899999999999993,4.38,0.33,0.33,-1.0499999999999998,-0.47999999999999987,5.42,0.33,0.33,-0.7999999999999998,-0.22999999999999987,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.93,0.14,0.14,-0.2500000000000002,0.31999999999999973,0.17,0.18,0.0,0.11,0.04,0.01,0.0,0.13,0.18,-0.35,0.21999999999999997,0.08
[LHT2010] BL233,For,-0.56,0.12,6.85,0.12,0.12,-0.75,-0.18999999999999995,1.85,0.34,0.34,-1.2999999999999998,-0.7399999999999998,3.71,0.25,0.25,-1.2400000000000002,-0.6800000000000002,nan,nan,nan,nan,nan,4.38,0.09,0.09,-1.0499999999999998,-0.48999999999999977,5.38,0.19,0.19,-0.8399999999999999,-0.2799999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.35,0.31,0.31,-0.8599999999999999,-0.2999999999999998,1.58,0.23,0.23,-0.6000000000000001,-0.040000000000000036,0.2,0.13,0.02,0.12,0.04,0.01,0.0,0.01,0.13,-0.32,0.24000000000000005,0.12
2MASS J02393808-3437062,For,-0.54,0.08,7.0,0.08,0.08,-0.5999999999999996,-0.05999999999999961,2.18,0.19,0.19,-0.9699999999999998,-0.4299999999999997,4.33,0.14,0.14,-0.6200000000000001,-0.08000000000000007,5.09,0.16,0.16,-0.5499999999999998,-0.009999999999999787,4.55,0.24,0.24,-0.8799999999999999,-0.33999999999999986,5.55,0.3,0.3,-0.6699999999999999,-0.1299999999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.47,0.21,0.21,-0.7100000000000002,-0.17000000000000015,0.31,0.29,0.1,0.2,0.15,0.12,0.0,0.01,0.29,-0.21000000000000002,0.33,0.08
2MASS J02394195-3430361,For,-0.54,0.06,6.78,0.06,0.06,-0.8199999999999994,-0.27999999999999936,2.15,0.15,0.15,-1.0,-0.45999999999999996,4.31,0.14,0.14,-0.6400000000000006,-0.10000000000000053,5.11,0.08,0.08,-0.5299999999999994,0.010000000000000675,4.45,0.21,0.21,-0.9799999999999995,-0.4399999999999995,5.35,0.22,0.22,-0.8700000000000001,-0.33000000000000007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.37,0.28,0.28,-0.8399999999999999,-0.2999999999999998,1.42,0.22,0.22,-0.7600000000000002,-0.2200000000000002,0.41,0.19,0.04,0.16,0.07,0.05,0.0,0.01,0.19,-0.11000000000000004,0.43,0.06
[WMO2009] For-1120,For,-0.54,0.08,6.86,0.12,0.12,-0.7399999999999993,-0.1999999999999993,1.87,0.11,0.11,-1.2799999999999998,-0.7399999999999998,4.01,0.24,0.24,-0.9400000000000004,-0.40000000000000036,5.11,0.4,0.4,-0.5299999999999994,0.010000000000000675,4.39,0.08,0.08,-1.04,-0.5,5.31,0.12,0.12,-0.9100000000000001,-0.3700000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.27,0.27,0.27,-0.94,-0.3999999999999999,1.53,0.12,0.12,-0.6500000000000001,-0.1100000000000001,0.2,0.09,0.02,0.08,0.02,0.01,0.0,0.01,0.09,-0.32,0.22000000000000003,0.08
[WMO2009] For-2026,For,-0.54,0.06,6.75,0.18,0.18,-0.8499999999999996,-0.3099999999999996,2.04,0.23,0.23,-1.1099999999999999,-0.5699999999999998,4.33,0.13,0.13,-0.6200000000000001,-0.08000000000000007,4.84,0.22,0.22,-0.7999999999999998,-0.2599999999999998,4.43,0.23,0.23,-1.0,-0.45999999999999996,5.29,0.21,0.21,-0.9299999999999997,-0.3899999999999997,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.21,0.28,0.28,-1.0,-0.45999999999999996,1.48,0.27,0.27,-0.7000000000000002,-0.16000000000000014,0.55,0.09,0.05,0.06,0.02,0.04,0.0,0.01,0.09,0.030000000000000027,0.5700000000000001,0.06
2MASS J02384018-3439121,For,-0.53,0.07,6.72,0.23,0.23,-0.8799999999999999,-0.34999999999999987,1.6,0.24,0.24,-1.5499999999999998,-1.0199999999999998,4.32,0.29,0.29,-0.6299999999999999,-0.09999999999999987,nan,nan,nan,nan,nan,3.91,0.14,0.14,-1.5199999999999996,-0.9899999999999995,5.15,0.18,0.18,-1.0699999999999994,-0.5399999999999994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.56,0.3,0.3,-0.6499999999999999,-0.11999999999999988,2.08,0.29,0.29,-0.10000000000000009,0.42999999999999994,0.26,0.31,0.1,0.21,0.14,0.11,0.0,0.09,0.31,-0.26,0.27,0.07
2MASS J02390819-3436537,For,-0.52,0.08,6.88,0.12,0.12,-0.7199999999999998,-0.19999999999999973,1.97,0.2,0.2,-1.18,-0.6599999999999999,3.9,0.23,0.23,-1.0500000000000003,-0.5300000000000002,5.19,0.22,0.22,-0.4499999999999993,0.07000000000000073,4.54,0.06,0.06,-0.8899999999999997,-0.36999999999999966,5.76,0.23,0.23,-0.45999999999999996,0.06000000000000005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.32,0.28,0.28,-0.8899999999999999,-0.3699999999999999,2.05,0.16,0.16,-0.13000000000000034,0.3899999999999997,0.39,0.2,0.05,0.16,0.09,0.06,0.0,0.01,0.2,-0.13,0.39,0.08
2MASS J02392769-3437487,For,-0.51,0.08,6.78,0.12,0.12,-0.8199999999999994,-0.3099999999999994,1.94,0.12,0.12,-1.21,-0.7,3.98,0.22,0.22,-0.9700000000000002,-0.4600000000000002,5.4,0.26,0.26,-0.23999999999999932,0.2700000000000007,4.03,0.22,0.22,-1.3999999999999995,-0.8899999999999995,5.62,0.19,0.19,-0.5999999999999996,-0.08999999999999964,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.61,0.27,0.27,-0.5999999999999999,-0.08999999999999986,1.79,0.15,0.15,-0.3900000000000001,0.11999999999999988,0.24,0.33,0.12,0.23,0.16,0.12,0.0,0.01,0.33,-0.28,0.22999999999999998,0.08
2MASS J02395604-3424106,For,-0.51,0.06,6.59,0.07,0.07,-1.0099999999999998,-0.4999999999999998,1.82,0.25,0.25,-1.3299999999999998,-0.8199999999999998,4.1,0.19,0.19,-0.8500000000000005,-0.3400000000000005,4.97,0.32,0.32,-0.6699999999999999,-0.15999999999999992,4.25,0.14,0.14,-1.1799999999999997,-0.6699999999999997,5.36,0.17,0.17,-0.8599999999999994,-0.3499999999999994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.17,0.28,0.28,-1.04,-0.53,1.65,0.18,0.18,-0.5300000000000002,-0.02000000000000024,-0.35,0.1,0.06,0.04,0.03,0.06,0.0,0.01,0.1,-0.87,-0.36,0.06
2MASS J02392483-3434383,For,-0.5,0.05,6.91,0.06,0.06,-0.6899999999999995,-0.1899999999999995,2.06,0.19,0.19,-1.0899999999999999,-0.5899999999999999,4.29,0.2,0.2,-0.6600000000000001,-0.16000000000000014,5.03,0.07,0.07,-0.6099999999999994,-0.10999999999999943,4.4,0.04,0.04,-1.0299999999999994,-0.5299999999999994,5.3,0.2,0.2,-0.9199999999999999,-0.41999999999999993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.47,0.14,0.14,-0.7100000000000002,-0.2100000000000002,0.31,0.31,0.12,0.22,0.14,0.12,0.0,0.01,0.31,-0.21000000000000002,0.29,0.05
2MASS J02394309-3440186,For,-0.49,0.08,6.78,0.06,0.06,-0.8199999999999994,-0.3299999999999994,1.91,0.1,0.1,-1.24,-0.75,4.3,0.17,0.17,-0.6500000000000004,-0.16000000000000036,5.38,0.13,0.13,-0.2599999999999998,0.2300000000000002,4.6,0.28,0.28,-0.8300000000000001,-0.3400000000000001,5.55,0.35,0.35,-0.6699999999999999,-0.17999999999999994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.44,0.3,0.3,-0.77,-0.28,1.52,0.27,0.27,-0.6600000000000001,-0.17000000000000015,0.23,0.14,0.0,0.1,0.05,0.02,0.0,0.08,0.14,-0.29000000000000004,0.19999999999999996,0.08
WEL  60,For,-0.49,0.09,6.63,0.11,0.11,-0.9699999999999998,-0.47999999999999976,1.93,0.48,0.48,-1.22,-0.73,4.3,0.21,0.21,-0.6500000000000004,-0.16000000000000036,4.99,0.19,0.19,-0.6499999999999995,-0.15999999999999948,4.46,0.08,0.08,-0.9699999999999998,-0.47999999999999976,5.34,0.36,0.36,-0.8799999999999999,-0.3899999999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.15,0.3,0.3,-1.06,-0.5700000000000001,1.71,0.14,0.14,-0.4700000000000002,0.019999999999999796,0.36,0.26,0.08,0.19,0.12,0.09,0.0,0.01,0.26,-0.16000000000000003,0.32999999999999996,0.09
2MASS J02393412-3433096,For,-0.48,0.08,6.71,0.2,0.2,-0.8899999999999997,-0.4099999999999997,2.12,0.1,0.1,-1.0299999999999998,-0.5499999999999998,4.39,0.11,0.11,-0.5600000000000005,-0.08000000000000052,5.17,0.16,0.16,-0.46999999999999975,0.010000000000000231,4.39,0.09,0.09,-1.04,-0.56,5.44,0.28,0.28,-0.7799999999999994,-0.2999999999999994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.73,0.21,0.21,-0.4500000000000002,0.029999999999999805,0.52,0.14,0.02,0.12,0.06,0.03,0.0,0.01,0.14,0.0,0.48,0.08
[LDH2014] Fnx-mem0522,For,-0.47,0.06,6.94,0.18,0.18,-0.6599999999999993,-0.18999999999999928,2.0,0.4,0.4,-1.15,-0.6799999999999999,3.79,0.3,0.3,-1.1600000000000001,-0.6900000000000002,5.13,0.09,0.09,-0.5099999999999998,-0.039999999999999813,4.62,0.07,0.07,-0.8099999999999996,-0.33999999999999964,5.63,0.2,0.2,-0.5899999999999999,-0.11999999999999988,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.17,0.31,0.31,-1.04,-0.5700000000000001,1.92,0.15,0.15,-0.26000000000000023,0.20999999999999974,0.19,0.18,0.01,0.1,0.02,0.01,0.0,0.14,0.18,-0.33,0.13999999999999996,0.06
[LHT2010] BL298,For,-0.46,0.06,6.79,0.21,0.21,-0.8099999999999996,-0.3499999999999996,2.23,0.2,0.2,-0.9199999999999999,-0.4599999999999999,3.66,0.24,0.24,-1.29,-0.8300000000000001,nan,nan,nan,nan,nan,4.1,0.19,0.19,-1.33,-0.8700000000000001,5.46,0.2,0.2,-0.7599999999999998,-0.29999999999999977,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.52,0.3,0.3,-0.69,-0.22999999999999993,1.95,0.17,0.17,-0.2300000000000002,0.22999999999999982,0.3,0.33,0.11,0.25,0.14,0.12,0.0,0.01,0.33,-0.22000000000000003,0.24,0.06
2MASS J02395732-3431211,For,-0.43,0.07,6.87,0.12,0.12,-0.7299999999999995,-0.29999999999999954,1.98,0.19,0.19,-1.17,-0.74,3.54,0.27,0.27,-1.4100000000000001,-0.9800000000000002,5.42,0.25,0.25,-0.21999999999999975,0.21000000000000024,4.35,0.1,0.1,-1.08,-0.6500000000000001,5.26,0.25,0.25,-0.96,-0.53,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.48,0.31,0.31,-0.73,-0.3,1.55,0.38,0.38,-0.6300000000000001,-0.20000000000000012,0.44,0.23,0.05,0.2,0.09,0.06,0.0,0.01,0.23,-0.08000000000000002,0.35,0.07
[WMO2009] For-0949,For,-0.42,0.08,7.0,0.23,0.23,-0.5999999999999996,-0.17999999999999966,1.78,0.11,0.11,-1.3699999999999999,-0.95,3.93,0.27,0.27,-1.02,-0.6000000000000001,5.19,0.1,0.1,-0.4499999999999993,-0.029999999999999305,4.7,0.24,0.24,-0.7299999999999995,-0.30999999999999955,5.36,0.18,0.18,-0.8599999999999994,-0.43999999999999945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.66,0.27,0.27,-0.55,-0.13000000000000006,1.8,0.13,0.13,-0.3800000000000001,0.03999999999999987,0.43,0.23,0.07,0.17,0.11,0.07,0.0,0.01,0.23,-0.09000000000000002,0.32999999999999996,0.08
[WMO2006] F01-16,For,-0.38,0.06,6.87,0.1,0.1,-0.7299999999999995,-0.34999999999999953,1.76,0.24,0.24,-1.39,-1.0099999999999998,4.17,0.13,0.13,-0.7800000000000002,-0.40000000000000024,5.12,0.17,0.17,-0.5199999999999996,-0.13999999999999957,4.83,0.27,0.27,-0.5999999999999996,-0.21999999999999964,5.35,0.29,0.29,-0.8700000000000001,-0.4900000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.23,0.2,0.2,0.04999999999999982,0.4299999999999998,0.51,0.15,0.0,0.12,0.04,0.02,0.0,0.07,0.15,-0.010000000000000009,0.37,0.06
2MASS J02393084-3435451,For,-0.35,0.06,6.95,0.08,0.08,-0.6499999999999995,-0.2999999999999995,2.08,0.14,0.14,-1.0699999999999998,-0.7199999999999999,4.6,0.11,0.11,-0.35000000000000053,-5.551115123125783e-16,5.16,0.21,0.21,-0.47999999999999954,-0.12999999999999956,4.58,0.18,0.18,-0.8499999999999996,-0.49999999999999967,5.24,0.32,0.32,-0.9799999999999995,-0.6299999999999996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.18,0.27,0.27,-1.03,-0.68,2.01,0.12,0.12,-0.17000000000000037,0.1799999999999996,0.38,0.3,0.11,0.21,0.14,0.12,0.0,0.01,0.3,-0.14,0.20999999999999996,0.06
[LHT2010] BL163,For,-0.35,0.07,6.92,0.11,0.11,-0.6799999999999997,-0.32999999999999974,2.24,0.19,0.19,-0.9099999999999997,-0.5599999999999997,4.45,0.14,0.14,-0.5,-0.15000000000000002,nan,nan,nan,nan,nan,4.7,0.11,0.11,-0.7299999999999995,-0.37999999999999956,5.92,0.17,0.17,-0.2999999999999998,0.050000000000000155,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.32,0.27,0.27,-0.8899999999999999,-0.5399999999999999,2.01,0.18,0.18,-0.17000000000000037,0.1799999999999996,0.35,0.35,0.12,0.25,0.16,0.13,0.0,0.01,0.35,-0.17000000000000004,0.17999999999999994,0.07
[MOW91]  21,For,-0.31,0.11,6.69,0.16,0.16,-0.9099999999999993,-0.5999999999999992,1.9,0.22,0.22,-1.25,-0.94,4.48,0.42,0.42,-0.46999999999999975,-0.15999999999999975,4.99,0.16,0.16,-0.6499999999999995,-0.33999999999999947,4.46,0.18,0.18,-0.9699999999999998,-0.6599999999999997,5.23,0.11,0.11,-0.9899999999999993,-0.6799999999999993,3.25,0.31,0.31,-1.3099999999999996,-0.9999999999999996,nan,nan,nan,nan,nan,1.15,0.31,0.31,-1.06,-0.75,1.84,0.12,0.12,-0.3400000000000001,-0.030000000000000082,0.24,0.09,0.03,0.08,0.01,0.02,0.0,0.01,0.09,-0.28,0.02999999999999997,0.11
